permit number,description,building type,completed date
6688832-CN,"Establish use as and Construct new multi-family structure, occupy per plan.",Multifamily,2021-06-21T00:00:00.000
6673151-CN,"Construct new West duplex, per plan (Establish use as single family and townhouse and construct (1) new single-family residence and (1) new duplex, review and process for 2 AP's under 6656283)",Single Family/Duplex,2021-06-21T00:00:00.000
6593592-CN,"Establish use as single family residence and construct one family dwelling, per plans.  Existing single family residence to remain.",Single Family/Duplex,2021-06-21T00:00:00.000
6633729-CN,"Establish use as and construct duplex townhouse with surface parking, per plan (Establish use as and construct 2 single family residences and duplex townhouse, per plan (3APs under 6608931)",Single Family/Duplex,2021-06-17T00:00:00.000
6724712-CN,"Establish use as and construct townhouse structure, per plan.",Multifamily,2021-06-16T00:00:00.000
6626076-CN,"6 unit Rowhouse, per plan.",Multifamily,2021-06-16T00:00:00.000
6601973-CN,"Establish use as rowhouse and construct new 6-unit townhouse building, per plan.",Multifamily,2021-06-16T00:00:00.000
6725302-CN,"Establish use as and construct new single family residence with detached garage, per plan.",Single Family/Duplex,2021-06-15T00:00:00.000
6656041-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-06-15T00:00:00.000
6680644-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2021-06-15T00:00:00.000
6769044-CN,"Establish use as and construct new single family residence with attached garage and accessory dwelling unit (AADU), per plan.",Single Family/Duplex,2021-06-14T00:00:00.000
6768437-CN,"Construct South single family residence (SFR 1), per plan. (Establish use as and construct 3 new single family residences, per plan.  Review & process for 3 permit records under 6757573-CN).",Single Family/Duplex,2021-06-13T00:00:00.000
6768436-CN,"Construct MIddle single family residence (SFR 1), per plan. (Establish use as and construct 3 new single family residences, per plan.  Review & process for 3 permit records under 6757573-CN).",Single Family/Duplex,2021-06-13T00:00:00.000
6757573-CN,"Construct North single family residence (SFR 1), per plan. (Establish use as and construct 3 new single family residences, per plan.  Review & process for 3 permit records under 6757573-CN).",Single Family/Duplex,2021-06-13T00:00:00.000
6699088-CN,"Construct new multi-family building, occupy per plan.",Multifamily,2021-06-11T00:00:00.000
6736383-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2021-06-11T00:00:00.000
6820702-CN,"Interior alterations to kitchen in SFR, subject to field inspection, STFI.",Single Family/Duplex,2021-06-10T00:00:00.000
6776370-CN,"Establish use as and construct a single family residence (SFR) with a attached accessory dwelling unit (AADU) and change use of existing single family residence to detached accessory dwelling unit (DADU), per plans.",Single Family/Duplex,2021-06-10T00:00:00.000
6700621-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2021-06-10T00:00:00.000
6635695-CN,"Construct West building, units 10 - 13, per plans. (Establish use as rowhouses and construct two townhouse buildings, per plans. Reviews and processing for 2 A/P's under 6601976).",Multifamily,2021-06-10T00:00:00.000
6521148-CN,"Establish use and construct a single family residence with attached garage, per plans.",Single Family/Duplex,2021-06-10T00:00:00.000
6656283-CN,"Construct new East single-family residence, per plan (Establish use as single family and townhouse and construct (1) new single-family residence and (1) new duplex, review and process for 2 AP's under 6656283)",Single Family/Duplex,2021-06-09T00:00:00.000
6702364-CN,"Establish use as row house and construct a townhouse structure with surface parking, per plan.",Multifamily,2021-06-08T00:00:00.000
6628024-CN,Establish use as and construct new single family residence per plan.,Single Family/Duplex,2021-06-08T00:00:00.000
6670911-CN,"Construct west 4-unit townhouse structure, per plans.  (Establish use as townhouses and construct two 4-unit townhouses.  Reviews and processing for 2 construction records under 6670911-CN).",Multifamily,2021-06-08T00:00:00.000
6588006-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2021-06-08T00:00:00.000
6773649-CN,"Construct South duplex building (Units 1&2), per plan. (Establish use as townhouse and construct 2 new duplexes, per plan.  Review & process for 2 records under permit # 6773649-CN).",Multifamily,2021-06-04T00:00:00.000
6740333-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-06-04T00:00:00.000
6798304-CN,"Remove existing detached accessory structure and construct new detached garage accessory to single family residence, subject to field inspection.",Single Family/Duplex,2021-06-03T00:00:00.000
6753081-CN,"Establish use and Construct single-family residence, per plan.",Single Family/Duplex,2021-06-03T00:00:00.000
6639571-CN,"Construct south 4-unit townhouse structure, per plans.  (Establish use for 8 townhouse units and construct two 4-unit townhouse structures.  Reviews and processing for 2 A/Ps under 6609484)",Multifamily,2021-06-02T00:00:00.000
6609484-CN,"Construct north 4-unit townhouse structure, per plans.  (Establish use for 8 townhouse units and construct two 4-unit townhouse structures.  Reviews and processing for 2 A/Ps under 6609484)",Multifamily,2021-06-02T00:00:00.000
6582741-CN,"Construct a multi-family structure, occupy per plan.",Multifamily,2021-06-02T00:00:00.000
6642180-CN,"Construct 3-unit townhouse (building 10), per plans. (Establish use as live/work and townhouses and construct 12 live/work and townhouse buildings. Reviews and processing for 12 construction records under 6616591-CN).",Multifamily,2021-05-28T00:00:00.000
6719438-CN,"Construct East townhouse, per plan.  [Establish use as rowhouse and townhouse and Construct two new townhouse structures, per plan. Review and processing for two Construction Records under 6676904-CN.]",Multifamily,2021-05-27T00:00:00.000
6632433-CN,"Establish use as and construct new single-family residence with attached garage, per plan",Single Family/Duplex,2021-05-27T00:00:00.000
6676904-CN,"Construct west townhouse, per plan.  [Establish use as rowhouse and townhouse and Construct two new townhouse structures, per plan. Review and processing for two Construction Records under 6676904-CN.]",Multifamily,2021-05-27T00:00:00.000
6595829-CN,"Establish use as and construct a townhouse structure with surface parking, per plan",Multifamily,2021-05-27T00:00:00.000
6771496-CN,"Construct South townhouse, per plan. (Establish use as duplex and townhouse and construct 1 duplex and 1 townhouse structure with surface parking. (Review and process for 2 record numbers under 6751355-CN)",Multifamily,2021-05-26T00:00:00.000
6760819-CN,"Establish use and Construct single-family residence, per plan.",Single Family/Duplex,2021-05-26T00:00:00.000
6606535-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-05-26T00:00:00.000
6697565-CN,"Establish use as rowhouses and construct a townhouse building, per plans",Single Family/Duplex,2021-05-25T00:00:00.000
6703878-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-05-24T00:00:00.000
6749410-CN,"Construct duplex, per plan. Existing single-family residence to remain.",Single Family/Duplex,2021-05-17T00:00:00.000
6698461-CN,"Establish use and Construct new Townhouse building, per plan.",Multifamily,2021-05-17T00:00:00.000
6635130-CN,"Establish use and construct new 8-unit townhouse building, per plan.",Multifamily,2021-05-17T00:00:00.000
6725004-CN,"Establish use as and construct new single family residence re-using portions of existing foundation, per plan.",Single Family/Duplex,2021-05-14T00:00:00.000
6772910-CN,"Establish use as and construct a single-family residence with an attached accessory dwelling unit (ADU), per plan. Existing duplex to remain.",Single Family/Duplex,2021-05-13T00:00:00.000
6769380-CN,"Establish use as and construct a single family residence, per plans.",Single Family/Duplex,2021-05-13T00:00:00.000
6773467-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-05-13T00:00:00.000
6669205-CN,"Construct 9 unit townhouse building with surface parking, per plan.",Multifamily,2021-05-13T00:00:00.000
6777539-CN,"Construct North duplex building (Units 3&4), per plan. (Establish use as townhouse and construct 2 new duplexes, per plan.  Review & process for 2 records under permit # 6773649-CN).",Multifamily,2021-05-12T00:00:00.000
6754331-CN,"Construct single family residence with attached garage, per plan",Single Family/Duplex,2021-05-12T00:00:00.000
6763579-CN,"Construct East single-family residence (A1), per plan. (Establish use as and construct 3 new single family residences, per plan. Review & process for 3 records under permit # 6763579-CN).",Single Family/Duplex,2021-05-12T00:00:00.000
6722077-CN,"Establish use and construct single family residence and detached garage w/ detached accessory dwelling unit, per plan",Single Family/Duplex,2021-05-11T00:00:00.000
6542679-CN,Construct East rowhouse this permit. (Establish use as rowhouse and construct (2) 3-unit townhome structures with attached garages and surface parking per plan. Process and review for (2) A/P'S WITH 6505000.),Multifamily,2021-05-11T00:00:00.000
6707752-CN,"Establish use as and construct single family residence with attached garage, per standard plan # 6733684-SP .",Single Family/Duplex,2021-05-10T00:00:00.000
6685532-CN,"Construct West townhouse structure #1, per plan. (Establish use as row house and townhouse and construct 2 townhouse structures with surface parking. Review and process for 2 record numbers under 6685532-CN)",Multifamily,2021-05-07T00:00:00.000
6749937-CN,"Construct East Single family residence (SFR1)  and detached accessory dwelling unit (DADU 1), per plan ( Establish use as and construct (3) single family residences, review and process for 3 CN's under 6749937-CN)",Single Family/Duplex,2021-05-06T00:00:00.000
6761603-CN,"Construct NW Single family residence (SFR2)  and detached accessory dwelling unit (DADU 2), per plan ( Establish use as and construct (3) single family residences, review and process for 3 CN's under 6749937-CN)",Single Family/Duplex,2021-05-06T00:00:00.000
6761604-CN,"Construct SW single family residence (SFR3), per plan ( Establish use as and construct (3) single family residences, review and process for 3 CN's under 6749937-CN)",Single Family/Duplex,2021-05-06T00:00:00.000
6771499-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-05-06T00:00:00.000
6761743-CN,"Construct new West single family residence with attached accessory dwelling unit, existing garage to be removed, per plan. [Establish use as and construct (2) single family residences; review and process for (2) CN's under 6749890-CN].",Single Family/Duplex,2021-05-06T00:00:00.000
6707854-CN,"Construct East townhouse structure (Establish use as and construct 2 townhouse structures, per plan.  Review & process for 2 records under #6693848-CN).",Multifamily,2021-05-06T00:00:00.000
6652486-CN,"Construct exterior alterations to single family home and construct new detached accessory dwelling unit, per plans",Single Family/Duplex,2021-05-06T00:00:00.000
6746343-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2021-05-05T00:00:00.000
6740456-CN,"Establish use and Construct single-family residence, per plan.",Single Family/Duplex,2021-05-05T00:00:00.000
6538605-CN,"Establish use as rowhouse and construct a two-family dwelling, per plans.",Single Family/Duplex,2021-05-05T00:00:00.000
6750645-CN,"Establish use as townhouses and construct duplex, per plans.",Single Family/Duplex,2021-05-04T00:00:00.000
6749890-CN,"Construct new East single family residence, per plan. [Establish use as and construct (2) single family residence; review and process for (2) CN's under 6749890-CN].",Single Family/Duplex,2021-05-04T00:00:00.000
6642181-CN,"Construct 2-unit live/work structure (building 11), per plans. (Establish use as live/work and townhouses and construct 12 live/work and townhouse buildings. Reviews and processing for 12 construction records under 6616591-CN).",Single Family/Duplex,2021-05-04T00:00:00.000
6572218-CN,"Establish use as multifamily and construct apartment building, occupy per plan.",Multifamily,2021-05-04T00:00:00.000
6825227-CN,"Construct a detached garage accessory to a single-family residence, subject to field inspection (STFI)",Single Family/Duplex,2021-05-03T00:00:00.000
6698311-CN,"Construct East townhouse structure #2, per plan. (Establish use as row house and townhouse and construct 2 townhouse structures with surface parking. Review and process for 2 record numbers under 6685532-CN)",Multifamily,2021-05-03T00:00:00.000
6788591-CN,"Construct single-family residence with attached accessory dwelling unit [AADU], per plan. Existing single-family residence to be converted to detached accessory dwelling unit [DADU].",Single Family/Duplex,2021-04-30T00:00:00.000
6736395-CN,"Establish use as rowhouse and construct a townhouse structure, per plan.",Single Family/Duplex,2021-04-30T00:00:00.000
6688888-CN,"Construct new east townhouse structure, per plan. (Construct two new townhouse structures / Review and process for 2 records under #6688888-CN)",Multifamily,2021-04-30T00:00:00.000
6590382-CN,"Construct bldg. H, per plans. (Establish use as and construct townhouse buildings and site work including retaining walls, per plans. Reviews and processing for 18 A/P's under 6575774)",Multifamily,2021-04-30T00:00:00.000
6590391-CN,"Construct bldg. Q, per plans. (Establish use as and construct townhouse buildings and site work including retaining walls, per plans. Reviews and processing for 18 A/P's under 6575774)",Multifamily,2021-04-30T00:00:00.000
6590381-CN,"Construct bldg. G, per plans. (Establish use as and construct townhouse buildings and site work including retaining walls, per plans. Reviews and processing for 18 A/P's under 6575774)",Multifamily,2021-04-30T00:00:00.000
6590387-CN,"Construct bldg. M, per plans. (Establish use as and construct townhouse buildings and site work including retaining walls, per plans. Reviews and processing for 18 A/P's under 6575774)",Multifamily,2021-04-30T00:00:00.000
6590392-CN,"Construct bldg. R, per plans. (Establish use as and construct townhouse buildings and site work including retaining walls, per plans. Reviews and processing for 18 A/P's under 6575774)",Multifamily,2021-04-30T00:00:00.000
6590380-CN,"Construct bldg. F, per plans. (Establish use as and construct townhouse buildings and site work including retaining walls, per plans. Reviews and processing for 18 A/P's under 6575774)",Multifamily,2021-04-30T00:00:00.000
6807560-CN,"Construct new carport, per STFI",Single Family/Duplex,2021-04-29T00:00:00.000
6746347-CN,"Establish use as and construct a single-family residence with attached garage,per plan.",Single Family/Duplex,2021-04-29T00:00:00.000
6675208-CN,"Establish use as townhouse and construct a 8 unit R-3 apartment structure, per plan.",Multifamily,2021-04-29T00:00:00.000
6642182-CN,"Construct 5-unit townhouse (building 12), per plans. (Establish use as live/work and townhouses and construct 12 live/work and townhouse buildings. Reviews and processing for 12 construction records under 6616591-CN).",Multifamily,2021-04-29T00:00:00.000
6593639-CN,Construct an apartment building and occupy per plan.,Multifamily,2021-04-29T00:00:00.000
6746345-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2021-04-28T00:00:00.000
6703877-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-04-28T00:00:00.000
6693851-CN,"Establish use and construct single family residence, per plan.",Single Family/Duplex,2021-04-28T00:00:00.000
6687889-CN,"Construct new live/work building, per plan.",Multifamily,2021-04-28T00:00:00.000
6553347-CN,"Establish use as townhouse and construct new duplex, per plan.",Single Family/Duplex,2021-04-28T00:00:00.000
6553340-CN,"Establish use as rowhouses and construct a two-family dwelling and retaining walls, per plans.",Single Family/Duplex,2021-04-28T00:00:00.000
6753398-CN,"Establish use as and construct a single-family residence with attached garage and accessory dwelling unit, per plan.",Single Family/Duplex,2021-04-27T00:00:00.000
6094764-CN,ESTABLISH USE AS SINGLE FAMILY RESIDENCE CONSTRUCT ONE FAMILY DWELLING W/ ATTACHED GARAGE PER PLANS,Single Family/Duplex,2021-04-27T00:00:00.000
6684571-CN,"Establish use as rowhouse and construct townhouse structure, per plan.",Multifamily,2021-04-26T00:00:00.000
6608931-CN,"Establish use as and construct south single family residence with attached garage, per plan (Establish use as and construct 2 single family residences and duplex townhouse, per plan - 3APs under 6608931)",Single Family/Duplex,2021-04-26T00:00:00.000
6828210-CN,"Alterations to construct deck to SFR, subject to field inspection, STFI.",Single Family/Duplex,2021-04-23T00:00:00.000
6826002-CN,"Replace existing second story deck with new deck at single family residence, subject to field inspection (STFI).",Single Family/Duplex,2021-04-22T00:00:00.000
6693848-CN,"Construct West townhouse structure (Establish use as and construct 2 townhouse structures, per plan.  Review & process for 2 records under #6693848-CN).",Multifamily,2021-04-22T00:00:00.000
6633730-CN,"Establish use as and construct north single family residence with surface parking, per plan (Establish use as and construct 2 single family residences and duplex townhouse, per plan (3APs under 6608931)",Single Family/Duplex,2021-04-22T00:00:00.000
6771169-CN,"Add a unit to an existing multi-family building, occupy per plans",Multifamily,2021-04-21T00:00:00.000
6755728-CN,"Establish use as townhouse and construct duplex, per plan.",Multifamily,2021-04-21T00:00:00.000
6708891-CN,"Establish use as single family residence and construct one family dwelling on existing foundation, per plans.",Single Family/Duplex,2021-04-21T00:00:00.000
6735552-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-04-20T00:00:00.000
6669204-CN,"Establish use and construct new townhouse residence and occupy, per plan.",Multifamily,2021-04-20T00:00:00.000
6579609-CN,"Associate: Construct east townhouse, per plan. (Establish use as rowhouse and construct 2 townhouse structures, per plan. Review and process for 2 AP's under 6550259)",Multifamily,2021-04-20T00:00:00.000
6550260-CN,"Establish use as rowhouses and construct 6-unit townhouse, per plans.",Multifamily,2021-04-20T00:00:00.000
6550259-CN,"Construct west townhouse, per plan. (Establish use as rowhouse and construct 2 townhouse structures, per plan. Review and process for 2 AP's under 6550259)",Multifamily,2021-04-20T00:00:00.000
6550262-CN,"Establish use as townhomes and construct 7-unit townhouse, per plans.",Multifamily,2021-04-20T00:00:00.000
6722086-CN,"Establish use as and construct new townhouse structure, per plan.",Multifamily,2021-04-19T00:00:00.000
6779039-CN,Construct unheated storage and art building accessory to existing single family dwelling per plot plan subject to field inspection (STFI).,Single Family/Duplex,2021-04-16T00:00:00.000
6710763-CN,"Establish Use and Construct single-family residence, per plan.",Single Family/Duplex,2021-04-16T00:00:00.000
6710920-CN,"Establish use as townhouse and construct two-family dwelling with attached garages, per plan.",Single Family/Duplex,2021-04-16T00:00:00.000
6716172-CN,"Establish use as rowhouse and construct townhouse structure, per plan.",Multifamily,2021-04-16T00:00:00.000
6734940-CN,"Establish use as and construct new single family residence with detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2021-04-15T00:00:00.000
6620433-CN,"Establish use as and construct a townhouse building, per plans",Multifamily,2021-04-14T00:00:00.000
6693839-CN,"Establish use and construct single family dwelling, per plan.",Single Family/Duplex,2021-04-13T00:00:00.000
6670953-CN,"Establish use as and construct new single family residence on existing foundation, per plan.",Single Family/Duplex,2021-04-13T00:00:00.000
6675024-CN,"Construct north bldg. 1, per plan (Establish use as townhouses and construct 2 two-family dwellings and associated site work, per plans. Reviews and processing for 2 C/N's under 6675024-CN)",Single Family/Duplex,2021-04-09T00:00:00.000
6771507-CN,"Establish use as and construct single family residence, per standard plan 6768368-SP.",Single Family/Duplex,2021-04-08T00:00:00.000
6761090-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2021-04-08T00:00:00.000
6691053-CN,"Establish use as and construct a duplex with surface parking, per plan.",Single Family/Duplex,2021-04-08T00:00:00.000
6692206-CN,"Establish use as and construct new townhomes, per plan.",Multifamily,2021-04-08T00:00:00.000
6691050-CN,"Establish use as rowhouse and construct duplex, per plan.",Single Family/Duplex,2021-04-08T00:00:00.000
6725536-CN,"Construct west townhouse structure, per plan. [Establish use as rowhouses and townhouses and Construct (2) townhouse structures, per plan. Review and processing for (2) construction records under 6695204-CN.]",Multifamily,2021-04-08T00:00:00.000
6713518-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-04-07T00:00:00.000
6748934-CN,"Establish use and Construct single-family residence, per plan.",Single Family/Duplex,2021-04-06T00:00:00.000
6656304-CN,"Construct South single family residence with surface parking, per plan. (Establish use as and construct three single family residences, per plan. Three A/P's under 6638882).",Single Family/Duplex,2021-04-05T00:00:00.000
6547842-CN,"Construct new townhouse structure (BLDG 2) in the middle, per plan. [Establish use as and construct 3 new townhouse structures with attached parking, per plan. Review and processing for 3 records under #6547842-CN.]",Multifamily,2021-04-05T00:00:00.000
6699677-CN,"Construct new live/work structure with surface parking, per plan.",Multifamily,2021-04-02T00:00:00.000
6706058-CN,"Establish use as rowhouse and construct a townhouse structure, per plan.",Multifamily,2021-04-01T00:00:00.000
6677318-CN,"Establish use as and construct a single family residence and site shoring, per plans",Single Family/Duplex,2021-04-01T00:00:00.000
6715221-CN,"Establish use as and construct new single family residence and detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2021-03-31T00:00:00.000
6731404-CN,"Construct east townhouse, per plan. (Establish use as rowhouse, and construct (2) townhouse structures, per plan. Review & process 2 records under 6702475-CN).",Multifamily,2021-03-31T00:00:00.000
6702475-CN,"Construct south townhouse, per plan. (Establish use as rowhouse, and construct (2) townhouse structures, per plan. Review & process 2 records under 6702475-CN).",Multifamily,2021-03-31T00:00:00.000
6710139-CN,"Construct EAST townhouse - building B, per plan (Establish use and construct east and west townhouse residences.  Review and process for two records under 6697990-CN)",Multifamily,2021-03-31T00:00:00.000
6721743-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-03-31T00:00:00.000
6679206-CN,"Remove accessory garage and construct single family dwelling, per plan.",Single Family/Duplex,2021-03-31T00:00:00.000
6627508-CN,"Establish use as townhouses and construct 6-unit townhouse, per plans.",Multifamily,2021-03-31T00:00:00.000
6627510-CN,"Establish use as and construct a townhouse building, per plans.",Multifamily,2021-03-31T00:00:00.000
6676979-CN,"Construct east 4-unit townhouse structure, per plans.  (Establish use as townhouses and construct two 4-unit townhouses.  Reviews and processing for 2 construction records under 6670911-CN).",Multifamily,2021-03-31T00:00:00.000
6756865-CN,"Construct South Single family residence, per plan (Establish use as single family residence and townhouse and construct (2) single family residences and (1) duplex, review and process for 3 CN's under 6756865).",Single Family/Duplex,2021-03-30T00:00:00.000
6763540-CN,"Construct North Single family residence, per plan (Establish use as single family residence and townhouse and construct (2) single family residences and (1) duplex, review and process for 3 CN's under 6756865).",Single Family/Duplex,2021-03-30T00:00:00.000
6763539-CN,"Construct Middle duplex, per plan (Establish use as single family residence and townhouse and construct (2) single family residences and (1) duplex, review and process for 3 CN's under 6756865).",Single Family/Duplex,2021-03-30T00:00:00.000
6721875-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-03-30T00:00:00.000
6638882-CN,"Construct North single family residence with surface parking, per plan. (Establish use as and construct three single family residences, per plan. Three A/P's under 6638882).",Single Family/Duplex,2021-03-30T00:00:00.000
6656303-CN,"Construct Middle single family residence with surface parking, per plan. (Establish use as and construct three single family residences, per plan. Three A/P's under 6638882).",Single Family/Duplex,2021-03-30T00:00:00.000
6698214-CN,"Establish use as row house and construct a townhouse structure with surface parking, per plan.",Multifamily,2021-03-29T00:00:00.000
6694430-CN,"Establish use and construct multifamily residence with townhouse and live/work units and occupy, per plan.",Multifamily,2021-03-29T00:00:00.000
6612820-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2021-03-29T00:00:00.000
6691153-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2021-03-26T00:00:00.000
6735598-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-03-26T00:00:00.000
6737945-CN,"Construct single family residence with attached garage, per plan",Single Family/Duplex,2021-03-26T00:00:00.000
6570510-CN,"Construct 3-unit townhouse with attached garage, per plan.",Multifamily,2021-03-26T00:00:00.000
6743716-CN,"Establish use as townhouses and construct 7-unit townhouse structure, per plans.",Multifamily,2021-03-25T00:00:00.000
6668973-CN,"Establish use as and construct a rowhouse building with attached garages, per plan,",Multifamily,2021-03-25T00:00:00.000
6735487-CN,"Establish use as and construct a duplex, per plan.(Existing single-family dwelling to remain)",Single Family/Duplex,2021-03-24T00:00:00.000
6674768-CN,"Establish use as rowhouse and construct new townhouse structure, per plan.",Multifamily,2021-03-24T00:00:00.000
6653806-CN,"Shoring and excavation for future construction of a mixed use building with below grade parking, per plan.",Multifamily,2021-03-23T00:00:00.000
6607401-CN,"Establish use as and construct a single family residence with attached garage, per plans.",Single Family/Duplex,2021-03-23T00:00:00.000
6445306-CN,"Construct a multifamily structure, occupy per plan.",Multifamily,2021-03-23T00:00:00.000
6638041-CN,"Establish use as duplex and construct two-family dwelling, per plan.",Multifamily,2021-03-22T00:00:00.000
6614256-CN,"Establish use as and construct a multi-family building, occupy per plans",Multifamily,2021-03-22T00:00:00.000
6743162-CN,"Establish use and Construct duplex townhouse, per plan. Existing Single-Family residence, and east garage to remain.",Single Family/Duplex,2021-03-19T00:00:00.000
6679155-CN,"Establish Use as Townhouse and Live work and construct 2 townhouse units and 4 live work units, per plan.",Multifamily,2021-03-18T00:00:00.000
6730364-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-03-17T00:00:00.000
6718865-CN,"Establish use as and construct new single family residence with attached garage & ADU, per plan.",Single Family/Duplex,2021-03-17T00:00:00.000
6645390-CN,"Establish use as and construct new townhouse, per plan.",Multifamily,2021-03-16T00:00:00.000
6526715-CN,"Establish use as and construct new single family residence with attached accessory dwelling unit (ADU), per plan.Demolition of existing structures under separate permit.",Single Family/Duplex,2021-03-16T00:00:00.000
6696784-CN,"Establish use as and construct a duplex with attached garages, per plan.",Single Family/Duplex,2021-03-15T00:00:00.000
6789531-CN,"Construct storage shed accessory to single-family residence, subject to field inspection [STFI].",Single Family/Duplex,2021-03-12T00:00:00.000
6693530-CN,"Establish use as and construct a single-family residence with surface parking, per plan.",Single Family/Duplex,2021-03-12T00:00:00.000
6690144-CN,"Establish use as and construct a single-family residence with an attached garage, per plan.",Single Family/Duplex,2021-03-12T00:00:00.000
6677457-CN,"Establish use as rowhouse and construct 6-unit townhouse, per plan.",Multifamily,2021-03-11T00:00:00.000
6566669-CN,"Establish use as and construct new townhouse structure, per plan.",Multifamily,2021-03-11T00:00:00.000
6808399-CN,"Remove detached garage and construct new detached garage to a single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2021-03-10T00:00:00.000
6762451-CN,"Construct new single family residence with attached accessory dwelling unit (AADU) and convert existing single family residence into a detached accessory dwelling unit (DADU), all per plan.",Single Family/Duplex,2021-03-09T00:00:00.000
6731203-CN,"Establish use as and construct single family residence and detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2021-03-09T00:00:00.000
6710520-CN,"Establish use as and construct a single-family residence and detached garage, per plan.",Single Family/Duplex,2021-03-09T00:00:00.000
6790611-CN,PLEASE SCREEN FOR STFI NO ECA REVIEW REQUIRED PER 6790642-EX*****rebuilding a single car garage.,Single Family/Duplex,2021-03-08T00:00:00.000
6699414-CN,"Construct East townhouse structure, per plan. (Establish use as and construct one townhouse and one duplex, per plan.  Review and process for 2 records under permit #6699414-CN).",Multifamily,2021-03-08T00:00:00.000
6589149-CN,"Construct substantial alterations to existing single family residence, partial existing foundation to remain, per plan.",Single Family/Duplex,2021-03-08T00:00:00.000
6682522-CN,"Establish use as and construct a townhouse structure with surface parking, per plan.",Multifamily,2021-03-05T00:00:00.000
6617655-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-03-05T00:00:00.000
6680933-CN,"Construct new townhouse structure (BLDG 1) to the west, per plan. [Establish use as and construct 3 new townhouse structures with attached parking, per plan. Review and processing for 3 records under #6547842-CN.]",Multifamily,2021-03-04T00:00:00.000
6680934-CN,"Construct new townhouse structure (BLDG 3) to the east, per plan. [Establish use as and construct 3 new townhouse structures with attached parking, per plan. Review and processing for 3 records under #6547842-CN.]",Multifamily,2021-03-04T00:00:00.000
6667609-CN,"Establish use as single family residence and construct one family dwelling with an accessory dwelling unit, per plans.",Single Family/Duplex,2021-03-04T00:00:00.000
6692851-CN,"Establish use as rowhouse and construct townhouse dwelling, per plan.",Single Family/Duplex,2021-03-03T00:00:00.000
6697990-CN,"Construct WEST townhouse - building A, per plan (Establish use and construct east and west townhouse residences.  Review and process for two records under 6697990-CN)",Multifamily,2021-03-02T00:00:00.000
6669315-CN,"Construct new West townhouse, per plan. (Establish use as and construct (3) new townhouse buildings review and process for 2 records under 6669315 - CN)",Multifamily,2021-03-02T00:00:00.000
6590722-CN,"Establish use and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2021-03-02T00:00:00.000
6720213-CN,"Establish use as and construct 3 unit townhouse structure, per plan.",Multifamily,2021-03-01T00:00:00.000
6674683-CN,"Establish use as and construct a single-family residence with attached dwelling unit (ADU) and attached garage, per plan.",Single Family/Duplex,2021-03-01T00:00:00.000
6669100-CN,"Establish use as and construct a single family residence with attached garage, per plan.",Single Family/Duplex,2021-02-25T00:00:00.000
6712245-CN,"Construct West duplex, per plan. (Establish use as and construct one townhouse and one duplex, per plan.  Review and process for 2 records under permit #6699414-CN).",Multifamily,2021-02-24T00:00:00.000
6711863-CN,"Construct alterations to existing single family residence (west building), per plan.(Construct alterations to existing single family residence and Construct 1 duplex and processing of 2 records under 6692703-CN).",Multifamily,2021-02-22T00:00:00.000
6692864-CN,"Establish use as and construct a single-family residence, per plans.",Single Family/Duplex,2021-02-19T00:00:00.000
6671065-CN,"Construct backyard cottage accessory to existing single-family residence, per plan.",Single Family/Duplex,2021-02-19T00:00:00.000
6684328-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-02-18T00:00:00.000
6684329-CN,"Establish use as rowhouse and construct a townhouse structure with surface parking, per plan.",Multifamily,2021-02-18T00:00:00.000
