permit number,description,building type,completed date
6649960-CN,"Establish use as rowhouse and construct townhouse building with attached garages, per plan.",Multifamily,2022-02-23T00:00:00.000
6801650-CN,"Establish use and Construct single-family residence with attached accessory dwelling unit [AADU] and detached accessory dwelling unit [DADU], per plan.",Single Family/Duplex,2022-02-22T00:00:00.000
6755257-CN,"Establish use as and construct new single family residence with  Attached Accessory Dwelling Unit, (AADU), existing foundation and garages to remain, per plan.",Single Family/Duplex,2022-02-22T00:00:00.000
6803753-CN,"Construct East SFR, per plans.  (Establish use as and construct two single-family residences, per plans. Reviews and processing for 2-CN's under 6792015).",Single Family/Duplex,2022-02-18T00:00:00.000
6803650-CN,"Construct EAST SFR, per plans (Establish use as and construct two single-family residences (SFR), per plans. Reviews and processing for 2-CN's under 6790554)",Single Family/Duplex,2022-02-18T00:00:00.000
6783196-CN,"Construct East single family residence, per plan. (Establish use as duplex and single-family residence and construct same. Review and process with two record numbers under 6771116-CN)",Single Family/Duplex,2022-02-18T00:00:00.000
6791595-CN,"Establish use as and construct single-family residence w/ detached accessory dwelling unit (DADU), per plan",Single Family/Duplex,2022-02-17T00:00:00.000
6765914-CN,"Construct NE SFR, per plans. (Establish use as and construct a two-family dwelling and two single family residences, per plans. Reviews and processing for 3 C/N's under 6738372).",Single Family/Duplex,2022-02-16T00:00:00.000
6693345-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2022-02-15T00:00:00.000
6779202-CN,"Establish use as rowhouse and construct new duplex building, per plan.",Single Family/Duplex,2022-02-14T00:00:00.000
6779250-CN,"Establish use as townhouse and construct duplex structure, per plan",Single Family/Duplex,2022-02-14T00:00:00.000
6783886-CN,"Establish use as and construct a single-family residence with attached garage, per plan",Single Family/Duplex,2022-02-11T00:00:00.000
6783151-CN,"Establish use as and construct a single-family residence with attached garage, per plan",Single Family/Duplex,2022-02-11T00:00:00.000
6760301-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2022-02-11T00:00:00.000
6762842-CN,"Establish use as and construct new single family residence with detached garage, per plan.",Single Family/Duplex,2022-02-10T00:00:00.000
6735660-CN,"Construct north two-family dwelling, per plan.  (Establish use as rowhouse and townhome and construct (2) two-family dwellings.  Review and processing for 2 records under #6735660-CN.)",Multifamily,2022-02-10T00:00:00.000
6759832-CN,"Establish use and construct North single-family residence, per plan (Establish use as duplex and single-family residence and construct same. Review and process for 2 record numbers under 6759832-CN)",Single Family/Duplex,2022-02-09T00:00:00.000
6778460-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2022-02-09T00:00:00.000
6795865-CN,"Establish use as and construct single-family residence  & detached accessory dwelling unit (DADU), per plan",Single Family/Duplex,2022-02-09T00:00:00.000
6808625-CN,"Construct south single-family residence with attached accessory dwelling unit (AADU), per plan (Establish use as and construct (3) single-family residence with an attached accessory dwelling unit (AADU). Review and process for 3 record numbers under 6802579-CN)",Single Family/Duplex,2022-02-07T00:00:00.000
6802579-CN,"Construct north single-family residence with attached accessory dwelling unit (AADU), per plan (Establish use as and construct (3) single-family residence with an attached accessory dwelling unit (AADU). Review and process for 3 record numbers under 6802579-CN)",Single Family/Duplex,2022-02-07T00:00:00.000
6808622-CN,"Construct middle single-family residence with attached accessory dwelling unit (AADU), per plan (Establish use as and construct (3) single-family residence with an attached accessory dwelling unit (AADU). Review and process for 3 record numbers under 6802579-CN)",Single Family/Duplex,2022-02-07T00:00:00.000
6784023-CN,"Construct east 3-unit townhouse, per plan. (Establish use as rowhouse and construct two 3-unit townhouses. Review and processing for 2 records under # 6748290-CN)",Multifamily,2022-02-07T00:00:00.000
6753087-CN,"Establish use as and construct new single family residence with attached accessory dwelling unit (ADU) and new detached accessory structure (DADU), per plan.",Single Family/Duplex,2022-02-07T00:00:00.000
6682169-CN,"Construct Detached Accessory Dwelling Unit (DADU), accessory to existing single family dwelling, per plan.",Single Family/Duplex,2022-02-07T00:00:00.000
6757818-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2022-02-04T00:00:00.000
6800805-CN,"Establish use and Construct single-family residence, per plan.",Single Family/Duplex,2022-02-03T00:00:00.000
6711223-CN,"Establish use as rowhouse and construct townhouse structure, per plan.",Single Family/Duplex,2022-02-03T00:00:00.000
6784881-CN,"Establish use and construct single-family residence with attached accessory dwelling unit [AADU] and detached accessory dwelling unit [DADU], per plan.",Single Family/Duplex,2022-02-02T00:00:00.000
6632706-CN,"Establish use as townhouse and construct new duplex, per plan.",Single Family/Duplex,2022-02-01T00:00:00.000
6761953-CN,"Construct West duplex, per plan. (Establish use as townhouse and construct 2 new duplexes, per plan.  Review & process for 2 records under permit # 6752931-CN)",Single Family/Duplex,2022-01-31T00:00:00.000
6761933-CN,"Construct East duplex, per plan. (Establish use as townhouse and construct 1 new townhouse structure and 1 new duplex, per plan.  Review & process for 2 records under permit # 6752928-CN)",Multifamily,2022-01-31T00:00:00.000
6752928-CN,"Construct West townhouse, per plan. (Establish use as townhouse and construct 1 new townhouse structure and 1 new duplex, per plan.  Review & process for 2 records under permit # 6752928-CN)",Multifamily,2022-01-31T00:00:00.000
6752931-CN,"Construct East duplex, per plan. (Establish use as townhouse and construct 2 new duplexes, per plan.  Review & process for 2 records under permit # 6752931-CN).",Single Family/Duplex,2022-01-31T00:00:00.000
6757456-CN,"Construct North bldg. per plans (Establish use as and construct two townhouse buildings,. Reviews and processing for 2 CN's under 6757456)",Multifamily,2022-01-25T00:00:00.000
6769598-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2022-01-24T00:00:00.000
6701944-CN,"Construct west townhouse building, per plan. [Establish use as rowhouses and Construct townhouse building and duplex, per plan. Review and processing for 2 construction records under 6701944-CN.]",Multifamily,2022-01-19T00:00:00.000
6594789-CN,"Construction of townhouse building, per plan.",Multifamily,2022-01-19T00:00:00.000
6725303-CN,"Establish use as single family residence and construct a single family dwelling with attached garage, per plan.",Single Family/Duplex,2022-01-18T00:00:00.000
6784246-CN,"Construct South bldg. per plans (Establish use as and construct two townhouse buildings, Reviews and processing for 2 CN's under 6757456)",Multifamily,2022-01-13T00:00:00.000
6756860-CN,Establish use and construct West townhouse per plan (Establish use as townhouse and construct 2 townhouse buildings / review & process for 2 AP's under 6756860-CN).,Multifamily,2022-01-13T00:00:00.000
6780183-CN,Establish use and construct East townhouse per plan (Establish use as townhouse and construct 2 townhouse buildings / review & process for 2 AP's under 6756860-CN).,Multifamily,2022-01-13T00:00:00.000
6675922-CN,"Establish use and construct townhouse building, per plan.",Multifamily,2022-01-13T00:00:00.000
6797393-CN,"Establish use and Construct single-family residence, per plan.",Single Family/Duplex,2022-01-12T00:00:00.000
6765915-CN,"Construct SE SFR, per plans. (Establish use as and construct a two-family dwelling and two single family residences, per plans. Reviews and processing for 3 C/N's under 6738372).",Single Family/Duplex,2022-01-11T00:00:00.000
6738372-CN,"Construct West duplex, per plans. (Establish use as and construct a two-family dwelling and two single family residences, per plans. Reviews and processing for 3 C/N's under 6738372).",Single Family/Duplex,2022-01-11T00:00:00.000
6692661-CN,"Establish use as row house and construct a townhouse structure with surface parking, per plan.",Multifamily,2022-01-07T00:00:00.000
6740705-CN,"Construct middle single family residence, per plan. (Establish use as and construct (3) single family residences, per plan. Review & process 3 records under 6730017-CN).",Single Family/Duplex,2022-01-07T00:00:00.000
6741244-CN,"Construct shored retaining wall on proposed property. PASV and reviews under permit record #6684891-CN. Link to #6684891-CN.
No PASV required.",Single Family/Duplex,2022-01-05T00:00:00.000
6817954-CN,"Construct carport for single family residence, subject to field inspection (STFI).",Single Family/Duplex,2022-01-03T00:00:00.000
6549598-CN,"Establish use as and construct new apartment building, per plan.",Multifamily,2022-01-03T00:00:00.000
6725613-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-12-30T00:00:00.000
6635786-CN,"Establish use as and construct single family residence attached garage this permit, per plan (Establish use as and construct single family residence and duplex with attached garage, per plan - 2 APs under 6629435)",Single Family/Duplex,2021-12-30T00:00:00.000
6629431-CN,"Construct single family dwelling, per plan. (Establish use as single family residence and townhouse and construct single family dwelling and two-family dwelling / review and process for 2 AP's under # 6629431).",Single Family/Duplex,2021-12-30T00:00:00.000
6776442-CN,"Construct new West single family residence (SFR1) with attached accessory dwelling unit, per plan. (Establish use and construct 2 new single family residences with an attached accessory dwelling units.  Review & process for 2 records under permit # 6762861-CN).",Single Family/Duplex,2021-12-27T00:00:00.000
6762861-CN,"Construct new East single family residence (SFR2) with attached accessory dwelling unit (AADU) and removal of existing detached garage, per plan. (Establish use and construct 2 new single family residences with an attached accessory dwelling units.  Review & process for 2 records under permit # 6762861-CN).",Single Family/Duplex,2021-12-27T00:00:00.000
6698242-CN,"Establish use and Construct single-family residence, per plan.",Single Family/Duplex,2021-12-23T00:00:00.000
6686918-CN,"Establish use and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2021-12-23T00:00:00.000
6777610-CN,"Construct East Duplex. [Establish use and Construct single-family residence and duplex, per plan. Review and processing for two construction records under 6708633-CN.]",Single Family/Duplex,2021-12-22T00:00:00.000
6790555-CN,"Establish use as townhouse and construct a duplex, per plan.  Existing single family residence to remain.",Multifamily,2021-12-22T00:00:00.000
6708633-CN,"Construct West single-family residence. [Establish use and Construct single-family residence and duplex, per plan. Review and processing for two construction records under 6708633-CN.]",Single Family/Duplex,2021-12-22T00:00:00.000
6753083-CN,"Establish use as and construct a single-family residence with an attached accessory dwelling unit, per plan.",Single Family/Duplex,2021-12-21T00:00:00.000
6853880-CN,"Construct non-structural interior alterations to condo unit 303 of existing multi-family structure, subject to field inspection (STFI)",Multifamily,2021-12-17T00:00:00.000
6680423-CN,"Construct an addition to an existing multifamily building, occupy per plan.",Multifamily,2021-12-16T00:00:00.000
6531974-CN,"Establish use as rowhouse and construct new townhouse structure with attached garages, per plan.",Multifamily,2021-12-16T00:00:00.000
6739898-CN,"Construct south two-family dwelling, per plan.  (Establish use as rowhouse and townhome and construct (2) two-family dwellings.  Review and processing for 2 records under #6735660-CN.)",Multifamily,2021-12-15T00:00:00.000
6693211-CN,"Establish use as and construct a townhouse building, per plans",Multifamily,2021-12-14T00:00:00.000
6610703-CN,"Establish use as apartment and construct a multi-family structure, occupy per plan.",Multifamily,2021-12-13T00:00:00.000
6841526-CN,"Construct unconditioned detached structure accessory to single family residence, subject to field inspection.",Single Family/Duplex,2021-12-09T00:00:00.000
6783540-CN,"Establish use as and construct a single family residence with an attached accessory dwelling unit and one detached accessory dwelling unit, per plans.",Single Family/Duplex,2021-12-09T00:00:00.000
6798393-CN,"Establish use as and construct a duplex, per plan.",Single Family/Duplex,2021-12-09T00:00:00.000
6791735-CN,"Construct east single-family residence. [Establish use and construct single-family residences, per plan. Review and processing for (2) construction records under 6785550-CN.]",Single Family/Duplex,2021-12-09T00:00:00.000
6616591-CN,"Construct 2-unit live/work structure (building 1), per plans. (Establish use as live/work and townhouses and construct 12 live/work and townhouse buildings. Reviews and processing for 12 construction records under 6616591-CN).",Single Family/Duplex,2021-12-09T00:00:00.000
6483743-CN,"Establish use as and construct a multi-family building, occupy per plans.",Multifamily,2021-12-09T00:00:00.000
6778843-CN,"Establish use as rowhouse and construct a duplex, per plan.",Single Family/Duplex,2021-12-08T00:00:00.000
6772811-CN,"Construct west townhouse building. [Establish use and Construct townhouses, per plan. Review and processing for (2) construction records under 6718110-CN.]",Multifamily,2021-12-08T00:00:00.000
6778845-CN,"Establish use as townhouse and construct a duplex, per plans.",Multifamily,2021-12-08T00:00:00.000
6642519-CN,"Establish use as rowhouse and construct new duplex, per plan.",Single Family/Duplex,2021-12-08T00:00:00.000
6694042-CN,"Construct duplex, per plan. (Establish use as and construct one single family residence and one townhouse, per plan. Review & process for 2 records under # 6689843-CN).",Single Family/Duplex,2021-12-07T00:00:00.000
6689843-CN,"Construct single family residence, per plan. (Establish use as and construct one single family residence and one townhouse, per plan. Review & process for 2 records under # 6689843-CN).",Single Family/Duplex,2021-12-07T00:00:00.000
6776412-CN,"Construct east townhouse building. [Establish use and Construct townhouses, per planReview and processing for (2) construction records under 6746797-CN.]",Multifamily,2021-12-06T00:00:00.000
6786327-CN,"Establish use as single family residence with (2) attached accessory dwelling units (AADU's) and construct townhouse structure, per plan.",Single Family/Duplex,2021-12-06T00:00:00.000
6758669-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-12-03T00:00:00.000
6778457-CN,"Establish use as and construct a single-family residence with an attached accessory dwelling unit (AADU), and a detached accessory dwelling unit (DADU), per plans",Single Family/Duplex,2021-12-03T00:00:00.000
6666274-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-12-03T00:00:00.000
6686868-CN,"Establish use and construct residential townhouse, per plan.",Multifamily,2021-12-03T00:00:00.000
6625230-CN,"Construct new mixed-use building, occupy per plan.",Multifamily,2021-12-03T00:00:00.000
6468786-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2021-12-03T00:00:00.000
6642520-CN,"Establish use as townhouse and construct new duplex, per plan.",Single Family/Duplex,2021-12-02T00:00:00.000
6778017-CN,"Construct new single family residence with attached Accessory Dwelling unit (ADU) and convert existing single family residence into Detached Accessory Dwelling Unit (DADU), per plan.",Single Family/Duplex,2021-12-01T00:00:00.000
6749947-CN,"Construct West townhouse (units 6-9), per plan. (Establish use as rowhouse and townhouse and construct 2 new townhouses/Review & process for 2 records under # 6708831-CN.)",Multifamily,2021-12-01T00:00:00.000
6708831-CN,"Construct East townhouse (units 1-5), per plan. (Establish use as rowhouse and townhouse and construct 2 new townhouses/Review & process for 2 records under # 6708831-CN.)",Multifamily,2021-12-01T00:00:00.000
6778053-CN,"Establish use as and construct new townhouse (east building), per plan. (Construct 1 duplex and 1 townhouse and processing of 2 records under 6746353-CN)",Multifamily,2021-11-30T00:00:00.000
6770219-CN,"Establish use as and construct a single family residence and a detached accessory dwelling unit, per plans",Single Family/Duplex,2021-11-30T00:00:00.000
6746353-CN,"Establish use as duplex and construct townhouse (west building), per plan.(Construct 1 duplex and 1 townhouse and processing of 2 records under 6746353-CN).",Multifamily,2021-11-30T00:00:00.000
6746797-CN,"Construct west townhouse building. [Establish use and Construct townhouses, per plan. Review and processing for (2) construction records under 6746797-CN.]",Multifamily,2021-11-29T00:00:00.000
6774119-CN,"Establish use as and construct townhouse structure, per plan.",Multifamily,2021-11-24T00:00:00.000
6743345-CN,"Construct north townhouse #2, per plan (Establish use as and construct 2 townhouse structures with attached and surface parking. Review and process for 2 record numbers under 6735592-CN)",Multifamily,2021-11-22T00:00:00.000
6863262-CN,"Construct detached structure (shed) to a single-family residence, subject to field inspection.",Single Family/Duplex,2021-11-19T00:00:00.000
6735110-CN,"Construct West building, per plan. (Establish use apartment and construct 2 multifamily structures, one with attached parking. Review and process for 2 Record numbers under 6668793-CN)",Multifamily,2021-11-19T00:00:00.000
6744126-CN,"Construct east duplex building, per plan. [Establish use as rowhouses and Construct townhouse building and duplex, per plan. Review and processing for 2 construction records under 6701944-CN.]",Multifamily,2021-11-19T00:00:00.000
6668793-CN,"Construct East building #1, per plan. (Establish use as apartment and construct 2 multifamily structures, one with attached parking. Review and process for 2 Record numbers under 6668793-CN)",Multifamily,2021-11-19T00:00:00.000
6614893-CN,"Construct new mixed use building with below grade parking, occupy per plan.  Mechanical included.",Multifamily,2021-11-19T00:00:00.000
6647673-CN,"Establish use as and construct single family residence with detached garage, per plans.",Single Family/Duplex,2021-11-16T00:00:00.000
6705293-CN,"Establish use as rowhouse and construct 3 unit townhouse structure, per plan.",Multifamily,2021-11-15T00:00:00.000
6693637-CN,"Establish use as rowhouse and construct new townhouse structure, per plan.",Multifamily,2021-11-15T00:00:00.000
6769501-CN,"Establish use as and construct a single-family residence, per plan",Single Family/Duplex,2021-11-12T00:00:00.000
6694947-CN,"Establish use as townhouse and construct two family dwelling, existing single family residence to remain, per plan.",Single Family/Duplex,2021-11-12T00:00:00.000
6643511-CN,"Construct new shoring for site stabilization of steep slope at private access road, per plan.",Single Family/Duplex,2021-11-10T00:00:00.000
6670349-CN,"Establish use as rowhouses and construct 7-unit townhouse, per plans.",Multifamily,2021-11-10T00:00:00.000
6769157-CN,"Establish use as and construct a duplex with attached garages, per plan.",Single Family/Duplex,2021-11-09T00:00:00.000
6650287-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2021-11-09T00:00:00.000
6737063-CN,"Establish use as and construct new townhouse structure, per plan.",Multifamily,2021-11-05T00:00:00.000
6629571-CN,"Establish as rowhouse and construct a five unit townhouse structure, per plan",Multifamily,2021-11-05T00:00:00.000
6639465-CN,"Constrruct new townhouse (south), per plan. (Construct (2) new townhouse structures and processing of (2) A/P's under 6580859).",Multifamily,2021-11-05T00:00:00.000
6580859-CN,"Construct new townhouse (north), per plan.(Construct (2) new townhouse structures and processing of (2) A/P's under 6580859).",Multifamily,2021-11-05T00:00:00.000
6720078-CN,"Establish use as single family residence and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2021-11-04T00:00:00.000
6787596-CN,"Construct West Middle SFR, per plans.  (Establish use as and construct (4) single-family residences, per plans.  Reviews and processing for (4) CN's under 6787596).",Single Family/Duplex,2021-11-03T00:00:00.000
6783107-CN,"Construct a detached accessory dwelling unit (DADU) and establish surface parking for single-family residence, per plan.",Single Family/Duplex,2021-11-03T00:00:00.000
6749845-CN,"Establish use and Construct townhouses, per plan. Existing SFR to remain.",Multifamily,2021-11-01T00:00:00.000
6793660-CN,"Construct northeast single family residence w/ DADU (Establish use as and construct (2) single family residences with (2) detached accessory dwelling units, & (1) single family residence, per plan.  Review and process (3) records under 6786734-CN).",Single Family/Duplex,2021-11-01T00:00:00.000
6738380-CN,"Establish use and construct townhouse structure, per plan.",Multifamily,2021-11-01T00:00:00.000
6785477-CN,"Construct alterations to existing detached garage accessory to existing single family residence, subject to field inspection (STFI)",Single Family/Duplex,2021-10-29T00:00:00.000
6724858-CN,"Establish use as and construct a single family residence, per plan.",Single Family/Duplex,2021-10-29T00:00:00.000
